AAPL,234.37,-0.95 (-0.40%),+0.13 (0.06%),235.32,233.37,234.44 x 1100,234.64 x 800,"17,612,833","28,183,141",1.059T,1.10,19.90,11.78,2019-08-09,229.78
KO,53.49,-0.02 (-0.04%),+0.05 (0.09%),53.51,53.46,53.49 x 3100,53.59 x 900,"9,994,504","11,815,447",228.725B,0.30,32.62,1.64,2019-09-13,57.48
WMT,119.42,-0.11 (-0.09%),0.00 (0.00%),119.53,119.31,119.28 x 800,119.55 x 900,"3,627,220","5,619,161",339.664B,0.65,27.01,4.42,2019-12-05,120.55
NKE,94.88,+0.09 (+0.09%),0.00 (0.00%),94.79,94.09,95.00 x 1200,94.88 x 900,"4,748,778","6,130,226",148.112B,1.10,35.43,2.68,2019-08-30,102.13
HD,235.90,+0.28 (+0.12%),+0.06 (0.03%),235.62,235.42,235.92 x 900,235.89 x 800,"2,279,961","3,704,426",258.346B,1.14,23.53,10.02,2019-09-04,231.67
AXP,117.41,-0.18 (-0.15%),0.00 (0.00%),117.59,117.63,117.42 x 900,118.48 x 1100,"2,089,353","3,497,010",97.412B,0.99,14.52,8.09,2019-07-03,131.83
DOW,47.12,-0.08 (-0.17%),0.00 (0.00%),47.20,47.49,47.10 x 900,47.90 x 900,"3,534,001","4,225,644",35.02B,N/A,13.90,3.39,2019-11-27,54.04
JPM,119.68,-0.28 (-0.23%),+0.14 (0.12%),119.96,119.96,119.57 x 800,120.30 x 800,"10,772,948","11,564,932",382.676B,1.19,11.74,10.19,2019-10-03,120.29
WBA,54.66,+0.15 (+0.27%),0.00 (0.00%),54.51,54.48,54.66 x 1000,54.88 x 1800,"2,881,296","4,539,584",49.366B,0.83,10.70,5.11,2019-08-19,57.29
PG,117.53,+0.33 (+0.28%),+0.07 (0.06%),117.20,117.67,116.80 x 800,117.77 x 900,"7,646,546","7,252,938",294.134B,0.35,82.19,1.43,2019-10-17,124.00
INTC,52.44,-0.21 (-0.39%),+0.08 (0.14%),52.65,52.35,52.35 x 1300,52.52 x 1400,"13,396,265","20,947,321",232.331B,0.71,12.18,4.30,2019-08-06,53.13
BA,372.43,+1.47 (+0.40%),0.00 (0.00%),370.96,370.22,372.01 x 1000,372.70 x 1400,"3,575,325","4,153,483",209.57B,1.27,42.70,8.72,2019-08-08,411.86
AAPL,234.37,-0.95 (-0.40%),+0.13 (0.06%),235.32,233.37,234.44 x 1100,234.64 x 800,"17,612,833","28,183,141",1.059T,1.10,19.90,11.78,2019-08-09,229.78
UTX,136.71,+0.56 (+0.41%),0.00 (0.00%),136.15,135.94,136.00 x 900,136.83 x 900,"1,905,989","2,796,336",117.994B,1.31,22.27,6.14,2019-11-14,155.47
VZ,60.29,-0.26 (-0.43%),+0.04 (0.07%),60.55,60.14,60.13 x 1200,60.34 x 1000,"8,780,882","11,633,470",249.345B,0.47,15.75,3.83,2019-10-09,61.00
PFE,36.34,-0.16 (-0.44%),+0.06 (0.17%),36.50,36.63,36.37 x 4000,36.57 x 1300,"13,428,184","23,982,709",200.998B,0.42,16.79,2.16,2019-08-01,41.90
GS,207.42,+0.96 (+0.46%),-0.03 (-0.01%),206.46,206.17,207.20 x 800,207.68 x 1300,"3,365,490","2,402,347",74.581B,1.34,9.27,22.38,2019-08-29,234.00
MMM,162.18,-0.80 (-0.49%),0.00 (0.00%),162.98,163.10,162.39 x 1000,164.54 x 800,"1,861,955","2,886,841",93.299B,1.28,19.52,8.31,2019-08-15,172.00
V,177.87,-0.88 (-0.49%),0.00 (0.00%),178.75,177.92,177.73 x 1100,178.20 x 900,"6,171,600","7,198,280",398.5B,0.81,34.15,5.21,2019-08-15,201.11
TRV,142.57,-0.74 (-0.52%),0.00 (0.00%),143.31,142.84,141.73 x 900,142.40 x 800,"878,280","1,208,133",37.123B,0.81,14.24,10.02,2019-09-09,149.73
MCD,208.30,+1.08 (+0.52%),+0.28 (0.13%),207.22,207.00,208.25 x 800,209.12 x 1800,"2,749,747","3,076,646",158.192B,0.33,27.36,7.61,2019-08-30,232.44
IBM,142.11,-0.89 (-0.62%),-7.22 (-5.08%),143.00,142.49,134.60 x 1100,134.80 x 900,"4,856,640","3,748,489",125.892B,1.56,14.67,9.69,2019-08-08,153.05
CAT,130.19,-0.84 (-0.64%),+0.01 (0.01%),131.03,131.00,130.00 x 1100,130.40 x 800,"2,857,891","4,036,327",73.243B,1.54,12.11,10.75,2019-10-18,139.57
UNH,236.99,-1.60 (-0.67%),+2.01 (0.85%),238.59,236.29,236.01 x 800,238.48 x 800,"5,169,786","4,105,790",224.591B,0.70,17.81,13.31,2019-09-13,287.83
MRK,84.45,-0.59 (-0.69%),+0.03 (0.04%),85.04,85.06,84.20 x 800,84.48 x 800,"5,185,604","8,302,613",216.223B,0.32,23.68,3.57,2019-09-13,96.36
MSFT,140.41,-1.16 (-0.82%),-0.06 (-0.04%),141.57,140.79,140.35 x 1200,140.54 x 1300,"20,079,608","24,436,233",1.072T,0.96,27.75,5.06,2019-08-14,156.77
DIS,130.86,+1.10 (+0.85%),+1.20 (0.92%),129.76,129.76,132.00 x 800,132.10 x 900,"6,433,002","8,213,743",235.729B,0.72,16.85,7.77,2019-07-05,151.79
CSCO,46.79,+0.43 (+0.93%),0.00 (0.00%),46.36,46.36,46.74 x 2900,46.79 x 2200,"15,937,755","19,388,084",198.637B,1.10,17.93,2.61,2019-07-03,55.25
CVX,115.11,-1.20 (-1.03%),-0.01 (-0.01%),116.31,116.23,115.07 x 1000,115.21 x 1200,"3,651,648","5,699,772",218.527B,0.84,14.91,7.72,2019-08-16,137.75
XOM,68.23,-1.19 (-1.71%),+0.05 (0.07%),69.42,69.21,68.19 x 1200,68.25 x 3200,"9,307,730","10,889,993",288.689B,1.21,16.44,4.15,2019-08-12,79.64
JNJ,135.17,+2.33 (+1.75%),-0.01 (-0.01%),132.84,134.90,134.86 x 1000,135.15 x 900,"12,463,430","7,337,501",356.737B,0.73,22.45,6.02,2019-08-26,149.13
